frameNumber	unityTimeAtLog	cameraPos_x	cameraPos_y	cameraPos_z	cameraMat_R0C0	cameraMat_R0C1	cameraMat_R0C2	cameraMat_R0C3	cameraMat_R1C0	cameraMat_R1C1	cameraMat_R1C2	cameraMat_R1C3	cameraMat_R2C0	cameraMat_R2C1	cameraMat_R2C2	cameraMat_R2C3	cameraMat_R3C0	cameraMat_R3C1	cameraMat_R3C2	cameraMat_R3C3	yTargetPos_x	yTargetPos_y	yTargetPos_z	rTargetPos_x	rTargetPos_y	rTargetPos_z	bTargetPos_x	bTargetPos_y	bTargetPos_z	wTargetPos_x	wTargetPos_y	wTargetPos_z	confidence	gaze_timestamp	unityTimeAtEyeImageCapture	gaze_normal2_x	gaze_normal2_y	gaze_normal2_z	gaze_normal0_x	gaze_normal0_y	gaze_normal0_z	gaze_normal1_x	gaze_normal1_y	gaze_normal1_z	gaze_point_3d_x	gaze_point_3d_y	gaze_point_3d_z	eye_center0_3d_x	eye_center0_3d_y	eye_center0_3d_z	eye_center1_3d_x	eye_center1_3d_y	eye_center1_3d_z	mode
6967	80.0033	0.6074178	1.02068	-0.7938498	0.985249	0.02323551	-0.1695418	0.6074178	-0.00468833	0.9940322	0.108986	1.02068	0.1710624	-0.1065835	0.9794782	-0.7938498	0	0	0	1	-2	1.5	6	0	1.5	6	2	1.5	6	1.414706	1.250698	7	0.9343297	-752923.6702425	79.9170727224555	0.2070255	-0.196708	0.9583561	0.1995703	-0.1979255	0.959686	0.214405	-0.1953961	0.957001	0.834461	-0.792874	3.862861	0.03052749	-0.0007636304	-0.003101654	-0.03025539	0.0003675438	0.003289033	binocular
6967	80.00345	0.6074178	1.02068	-0.7938498	0.985249	0.02323551	-0.1695418	0.6074178	-0.00468833	0.9940322	0.108986	1.02068	0.1710624	-0.1065835	0.9794782	-0.7938498	0	0	0	1	-2	1.5	6	0	1.5	6	2	1.5	6	1.414706	1.250698	7	1	-752923.6662455	79.9210697223898	0.207472	-0.1912102	0.9593717	0.2004628	-0.1869297	0.9617026	0.214405	-0.1953961	0.957001	0.8634747	-0.7957949	3.992795	0.03052749	-0.0007636304	-0.003101654	-0.03025539	0.0003675438	0.003289033	binocular
6967	80.00389	0.6074178	1.02068	-0.7938498	0.985249	0.02323551	-0.1695418	0.6074178	-0.00468833	0.9940322	0.108986	1.02068	0.1710624	-0.1065835	0.9794782	-0.7938498	0	0	0	1	-2	1.5	6	0	1.5	6	2	1.5	6	1.414706	1.250698	7	1	-752923.662242	79.92507322249	0.2064549	-0.1919944	0.9594345	0.2004628	-0.1869297	0.9617026	0.2123818	-0.1969768	0.957128	0.9964761	-0.9266814	4.630812	0.03052749	-0.0007636304	-0.003101654	-0.03025539	0.0003675438	0.003289033	binocular
6967	80.00424	0.6074178	1.02068	-0.7938498	0.985249	0.02323551	-0.1695418	0.6074178	-0.00468833	0.9940322	0.108986	1.02068	0.1710624	-0.1065835	0.9794782	-0.7938498	0	0	0	1	-2	1.5	6	0	1.5	6	2	1.5	6	1.414706	1.250698	7	0.9979764	-752923.658253	79.9290622224798	0.2092492	-0.1928277	0.9586617	0.2060848	-0.1886354	0.96018	0.2123818	-0.1969768	0.957128	1.875672	-1.728472	8.593269	0.03052749	-0.0007636304	-0.003101654	-0.03025539	0.0003675438	0.003289033	binocular
6967	80.0046	0.6074178	1.02068	-0.7938498	0.985249	0.02323551	-0.1695418	0.6074178	-0.00468833	0.9940322	0.108986	1.02068	0.1710624	-0.1065835	0.9794782	-0.7938498	0	0	0	1	-2	1.5	6	0	1.5	6	2	1.5	6	1.414706	1.250698	7	0.9979764	-752923.654259	79.9330562225077	0.2072655	-0.1946441	0.9587255	0.2060848	-0.1886354	0.96018	0.2084277	-0.2006293	0.9572386	4.378138	-4.111533	20.25148	0.03052749	-0.0007636304	-0.003101654	-0.03025539	0.0003675438	0.003289033	binocular
6967	80.00484	0.6074178	1.02068	-0.7938498	0.985249	0.02323551	-0.1695418	0.6074178	-0.00468833	0.9940322	0.108986	1.02068	0.1710624	-0.1065835	0.9794782	-0.7938498	0	0	0	1	-2	1.5	6	0	1.5	6	2	1.5	6	1.414706	1.250698	7	1	-752923.65026	79.9370552224573	0.2084234	-0.1930786	0.9587911	0.2084045	-0.185513	0.9602877	0.2084277	-0.2006293	0.9572386	20.24583	-18.75527	93.13506	0.03052749	-0.0007636304	-0.003101654	-0.03025539	0.0003675438	0.003289033	binocular
6970	80.03314	0.607193	1.021055	-0.7938716	0.9851522	0.02285098	-0.1701557	0.607193	-0.004118343	0.9939629	0.1096397	1.021055	0.1716339	-0.1073111	0.9792988	-0.7938716	0	0	0	1	-2	1.5	6	0	1.5	6	2	1.5	6	1.378294	1.204067	7	1	-752923.6462165	79.9410987223964	0.2072666	-0.1909602	0.9594659	0.2084045	-0.185513	0.9602877	0.2061284	-0.1964119	0.9586102	6.636811	-6.11467	30.72272	0.03052749	-0.0007636304	-0.003101654	-0.03025539	0.0003675438	0.003289033	binocular
6970	80.03322	0.607193	1.021055	-0.7938716	0.9851522	0.02285098	-0.1701557	0.607193	-0.004118343	0.9939629	0.1096397	1.021055	0.1716339	-0.1073111	0.9792988	-0.7938716	0	0	0	1	-2	1.5	6	0	1.5	6	2	1.5	6	1.378294	1.204067	7	0.8911545	-752923.642216	79.9450992224738	0.2085278	-0.1909012	0.9592043	0.2109337	-0.1854083	0.9597555	0.2061284	-0.1964119	0.9586102	2.826298	-2.587394	13.00065	0.03052749	-0.0007636304	-0.003101654	-0.03025539	0.0003675438	0.003289033	binocular
6970	80.03328	0.607193	1.021055	-0.7938716	0.9851522	0.02285098	-0.1701557	0.607193	-0.004118343	0.9939629	0.1096397	1.021055	0.1716339	-0.1073111	0.9792988	-0.7938716	0	0	0	1	-2	1.5	6	0	1.5	6	2	1.5	6	1.378294	1.204067	7	0.8911545	-752923.638253	79.9490622223821	0.2087009	-0.1890412	0.9595349	0.2109337	-0.1854083	0.9597555	0.2064778	-0.1926943	0.9592893	2.966894	-2.687411	13.64076	0.03052749	-0.0007636304	-0.003101654	-0.03025539	0.0003675438	0.003289033	binocular
6970	80.03334	0.607193	1.021055	-0.7938716	0.9851522	0.02285098	-0.1701557	0.607193	-0.004118343	0.9939629	0.1096397	1.021055	0.1716339	-0.1073111	0.9792988	-0.7938716	0	0	0	1	-2	1.5	6	0	1.5	6	2	1.5	6	1.378294	1.204067	7	1	-752923.6342585	79.9530567224137	0.1631563	-0.2038656	0.9653076	0.1189312	-0.214135	0.9695368	0.2064778	-0.1926943	0.9592893	0.1131197	-0.1413443	0.6692683	0.03052749	-0.0007636304	-0.003101654	-0.03025539	0.0003675438	0.003289033	binocular
6970	80.0334	0.607193	1.021055	-0.7938716	0.9851522	0.02285098	-0.1701557	0.607193	-0.004118343	0.9939629	0.1096397	1.021055	0.1716339	-0.1073111	0.9792988	-0.7938716	0	0	0	1	-2	1.5	6	0	1.5	6	2	1.5	6	1.378294	1.204067	7	1	-752923.630247	79.9570682224585	0.1642246	-0.2040399	0.9650897	0.1189312	-0.214135	0.9695368	0.2085731	-0.1930121	0.9587719	0.1111246	-0.1380661	0.6530397	0.03052749	-0.0007636304	-0.003101654	-0.03025539	0.0003675438	0.003289033	binocular
6970	80.03346	0.607193	1.021055	-0.7938716	0.9851522	0.02285098	-0.1701557	0.607193	-0.004118343	0.9939629	0.1096397	1.021055	0.1716339	-0.1073111	0.9792988	-0.7938716	0	0	0	1	-2	1.5	6	0	1.5	6	2	1.5	6	1.378294	1.204067	7	1	-752923.626243	79.9610722225625	0.2071109	-0.1889038	0.9599065	0.2056324	-0.1847732	0.9610277	0.2085731	-0.1930121	0.9587719	3.776595	-3.444596	17.50356	0.03052749	-0.0007636304	-0.003101654	-0.03025539	0.0003675438	0.003289033	binocular
